"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.397870072E0,1.750030518E1,9.414672852E0,-1.716308594E1
4.417767533E0,1.751708984E1,9.410095215E0,-1.573486328E1
4.437512406E0,1.965637207E1,1.012420654E1,-1.788940430E1
4.457501420E0,1.821136475E1,9.420776367E0,-1.787872314E1
4.477917680E0,1.821441650E1,1.308441162E1,-1.508636475E1
4.497479447E0,1.676177979E1,1.098785400E1,-1.505584717E1
4.517468461E0,1.893920898E1,1.239013672E1,-1.436309814E1
4.537457474E0,1.822357178E1,1.308288574E1,-1.437072754E1
4.557843217E0,1.821899414E1,1.099090576E1,-1.362915039E1
4.577710160E0,1.821441650E1,1.308441162E1,-1.508636475E1
4.597424515E0,1.677093506E1,1.098632812E1,-1.434173584E1
4.617444047E0,1.892700195E1,1.169586182E1,-1.506805420E1
4.637402543E0,1.967773438E1,1.099395752E1,-1.220245361E1
4.657422074E0,1.896209717E1,1.168670654E1,-1.221008301E1
4.677380570E0,1.782073975E1,1.083679199E1,-1.154937744E1
4.697369584E0,1.924743652E1,1.294097900E1,-1.372222900E1
4.717358598E0,1.928710938E1,1.223297119E1,-1.014099121E1
4.737683305E0,1.926116943E1,1.084442139E1,-1.155090332E1
4.757367142E0,1.925659180E1,1.014709473E1,-1.154174805E1
4.777325639E0,1.998138428E1,9.452819824E0,-1.081848145E1
4.797314652E0,1.903381348E1,8.828735352E0,-1.474914551E1
4.817334183E0,2.050476074E1,1.092071533E1,-1.335144043E1
4.837292680E0,1.975860596E1,8.132934570E0,-1.402740479E1
4.857312211E0,1.976318359E1,8.830261230E0,-1.403656006E1
4.877270707E0,1.976318359E1,7.434082031E0,-1.330261230E1
4.897656449E0,2.119903564E1,8.140563965E0,-1.402893066E1
4.917370805E0,1.977233887E1,8.827209473E0,-1.332244873E1
4.937268265E0,1.904754639E1,8.126831055E0,-1.331176758E1
4.957257279E0,2.049255371E1,7.435607910E0,-1.259002686E1
4.977215775E0,1.974639893E1,7.440185547E0,-1.473236084E1
4.997204789E0,2.134399414E1,7.901000977E0,-1.424560547E1
5.017193803E0,2.134704590E1,7.202148438E0,-1.352233887E1
5.037182816E0,2.135620117E1,7.200622559E0,-1.280822754E1
5.057507523E0,2.133483887E1,6.507873535E0,-1.422729492E1
5.077374467E0,2.061462402E1,6.504821777E0,-1.422576904E1
5.097180375E0,1.918334961E1,5.099487305E0,-1.277618408E1
5.117138871E0,1.992340088E1,6.716918945E0,-1.078186035E1
5.137127885E0,2.206268311E1,6.036376953E0,-1.220397949E1
5.157116898E0,2.062225342E1,4.634094238E0,-1.146850586E1
5.177105912E0,2.059936523E1,3.942871094E0,-1.288757324E1
5.197094926E0,1.847381592E1,5.317687988E0,-1.076049805E1
5.217511185E0,2.135009766E1,4.635620117E0,-1.075592041E1
5.237378129E0,2.062988281E1,4.632568359E0,-1.075439453E1
5.257092484E0,2.134246826E1,4.638671875E0,-1.147003174E1
5.277050980E0,2.061767578E1,3.938293457E0,-1.145935059E1
5.297039994E0,2.064361572E1,3.930664062E0,-9.317016602E0
5.317029008E0,2.062225342E1,4.486083984E-1,-9.269714355E0
5.337018021E0,1.852264404E1,1.654052734E0,-1.000061035E1
5.357007035E0,1.850891113E1,9.597778320E-1,-1.070556641E1
5.376996049E0,2.068786621E1,-4.302978516E-1,-8.546447754E0
5.397351273E0,1.923828125E1,-4.348754883E-1,-9.259033203E0
5.417004594E0,1.853485107E1,-4.425048828E-1,-7.829284668E0
5.436993607E0,2.117614746E1,1.152038574E0,-1.119842529E1
5.456982621E0,2.115936279E1,-2.395629883E-1,-1.189422607E1
5.476941117E0,2.046966553E1,4.470825195E-1,-9.759521484E0
5.496930131E0,1.902923584E1,-2.351379395E0,-8.291625977E0
5.516949662E0,1.831359863E1,-1.658630371E0,-8.299255371E0
5.536908158E0,1.833953857E1,-3.060913086E0,-5.422973633E0
5.557263383E0,1.761016846E1,-3.062438965E0,-6.137084961E0
5.577038773E0,1.836090088E1,-3.764343262E0,-3.271484375E0
5.596875199E0,1.907348633E1,-3.758239746E0,-3.987121582E0
5.616894730E0,1.907348633E1,-5.154418945E0,-3.253173828E0
5.636853226E0,1.979827881E1,-5.848693848E0,-2.529907227E0
5.656842240E0,1.837005615E1,-6.556701660E0,-1.091003418E0
5.676831254E0,1.959533691E1,-6.857299805E0,1.470947266E0
5.696820267E0,1.961364746E1,-6.861877441E0,2.899169922E0
5.717175492E0,1.887969971E1,-7.559204102E0,2.195739746E0
5.737011918E0,1.818542480E1,-7.569885254E0,4.339599609E0
5.756787308E0,1.502532959E1,-6.883239746E0,3.607177734E0
5.776776322E0,1.432189941E1,-8.287048340E0,5.770874023E0
5.796795853E0,1.577148438E1,-8.280944824E0,6.483459473E0
5.816815385E0,1.146697998E1,-6.913757324E0,7.183837891E0
5.836743363E0,1.290283203E1,-8.998107910E0,7.923889160E0
5.856732377E0,1.149291992E1,-6.919860840E0,9.326171875E0
5.876721390E0,1.076812744E1,-4.830932617E0,7.870483398E0
5.897839555E0,8.581542969E0,-6.230163574E0,6.463623047E0
5.916729935E0,1.078948975E1,-4.138183594E0,9.291076660E0
5.936688431E0,1.006927490E1,-2.746582031E0,8.558654785E0
