"Time (s)","Illuminance (lx)"
4.408273443E2,1.209000000E3
4.410302252E2,1.640000000E3
4.412331366E2,1.711000000E3
4.414359564E2,8.580000000E2
4.416390814E2,3.770000000E2
4.418416876E2,8.100000000E2
4.420445685E2,1.804000000E3
4.422474493E2,2.956000000E3
4.424502997E2,1.722000000E3
4.426531805E2,5.910000000E2
4.428560003E2,4.730000000E2
4.430592779E2,1.575000000E3
4.432617621E2,2.585000000E3
4.434646124E2,2.455000000E3
4.436674627E2,1.557000000E3
4.438703131E2,3.720000000E2
4.440733465E2,5.810000000E2
4.442760138E2,2.511000000E3
4.444788946E2,2.914000000E3
4.446817605E2,2.382000000E3
4.448846108E2,5.140000000E2
4.450875222E2,4.310000000E2
4.452903115E2,1.637000000E3
4.454935586E2,2.794000000E3
4.456960122E2,3.755000000E3
4.458988930E2,1.363000000E3
4.461017739E2,4.870000000E2
4.463047463E2,8.880000000E2
4.465075967E2,2.644000000E3
4.467103554E2,3.528000000E3
4.469132058E2,2.968000000E3
4.471160256E2,9.890000000E2
4.473189065E2,5.610000000E2
4.475217873E2,1.945000000E3
4.477245766E2,3.347000000E3
4.479277932E2,3.226000000E3
4.481303078E2,9.740000000E2
4.483331582E2,4.550000000E2
4.485360085E2,5.490000000E2
4.487388589E2,2.734000000E3
4.489419533E2,4.111000000E3
4.491445595E2,2.873000000E3
4.493474099E2,9.470000000E2
4.495502602E2,4.620000000E2
4.497530801E2,1.208000000E3
4.499559304E2,2.200000000E3
4.501587502E2,2.255000000E3
4.503620583E2,1.592000000E3
4.505644814E2,4.960000000E2
4.507673012E2,6.650000000E2
4.509701821E2,2.548000000E3
4.511729714E2,3.938000000E3
4.513760964E2,3.065000000E3
4.515787026E2,4.450000000E2
4.517817666E2,7.120000000E2
4.519843728E2,1.345000000E3
4.521872536E2,3.340000000E3
4.523901650E2,3.183000000E3
4.525928933E2,1.095000000E3
4.527957436E2,4.920000000E2
4.529985940E2,5.700000000E2
4.532014748E2,2.842000000E3
4.534043252E2,3.463000000E3
4.536071755E2,2.498000000E3
4.538103615E2,5.900000000E2
4.540128457E2,5.460000000E2
4.542156655E2,9.580000000E2
4.544185464E2,3.244000000E3
4.546213146E2,3.553000000E3
4.548243481E2,1.859000000E3
4.550270153E2,4.170000000E2
4.552298656E2,5.150000000E2
4.554326855E2,1.730000000E3
4.556355053E2,3.618000000E3
4.558384777E2,3.365000000E3
4.560412365E2,1.230000000E3
4.562440258E2,5.610000000E2
4.564469066E2,5.410000000E2
4.566497570E2,2.232000000E3
4.568526073E2,3.572000000E3
4.570554272E2,2.453000000E3
4.572586437E2,4.440000000E2
4.574610973E2,6.220000000E2
4.576639477E2,9.480000000E2
4.578668285E2,2.831000000E3
4.580696789E2,3.164000000E3
4.582726818E2,1.675000000E3
4.584753490E2,3.690000000E2
4.586782299E2,4.530000000E2
4.588810497E2,1.507000000E3
4.590839001E2,2.750000000E3
4.592867809E2,2.220000000E3
4.594895702E2,7.160000000E2
4.596928478E2,8.380000000E2
4.598952709E2,6.650000000E2
4.600981823E2,2.205000000E3
4.603010021E2,2.792000000E3
4.605038219E2,1.488000000E3
4.607069469E2,8.890000000E2
4.609094921E2,1.093000000E3
4.611123424E2,1.135000000E3
