"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.319855647E2,5.233212346E1,4.868780260E0,-4.404650879E0,0.000000000E0,0.000000000E0,5.252799988E1,0.000000000E0
1.329875226E2,5.233212350E1,4.868780280E0,-4.333605957E0,0.000000000E0,0.000000000E0,5.360000229E1,0.000000000E0
1.339899477E2,5.233212629E1,4.868784520E0,-4.381762695E0,0.000000000E0,0.000000000E0,5.360000229E1,0.000000000E0
1.349911594E2,5.233212769E1,4.868786650E0,-4.344592285E0,0.000000000E0,0.000000000E0,5.467200089E1,0.000000000E0
1.359897872E2,5.233212853E1,4.868787920E0,-4.330004883E0,0.000000000E0,0.000000000E0,5.574400330E1,0.000000000E0
1.370125496E2,5.233212921E1,4.868788940E0,-4.343127441E0,0.000000000E0,0.000000000E0,5.574400330E1,0.000000000E0
1.380009704E2,5.233212975E1,4.868789760E0,-4.343920898E0,0.000000000E0,0.000000000E0,5.574400330E1,0.000000000E0
1.389890692E2,5.233213019E1,4.868790410E0,-4.333544922E0,0.000000000E0,0.000000000E0,5.681600189E1,0.000000000E0
1.399997285E2,5.233213053E1,4.868790940E0,-4.332629395E0,0.000000000E0,0.000000000E0,5.681600189E1,0.000000000E0
1.409997127E2,5.233213081E1,4.868791350E0,-4.332324219E0,0.000000000E0,0.000000000E0,5.681600189E1,0.000000000E0
1.419897249E2,5.233213104E1,4.868791690E0,-4.326037598E0,0.000000000E0,0.000000000E0,5.788800049E1,0.000000000E0
1.429956262E2,5.233213121E1,4.868791960E0,-4.327807617E0,0.000000000E0,0.000000000E0,5.788800049E1,0.000000000E0
1.439939260E2,5.233213136E1,4.868792170E0,-4.329089355E0,0.000000000E0,0.000000000E0,5.896000290E1,0.000000000E0
1.449908714E2,5.233213147E1,4.868792340E0,-4.327746582E0,0.000000000E0,0.000000000E0,5.896000290E1,0.000000000E0
1.459987345E2,5.233213558E1,4.868775660E0,-4.325732422E0,2.160000086E0,2.912999878E2,5.896000290E1,0.000000000E0
1.470058779E2,5.233213619E1,4.868754700E0,-4.322558594E0,1.049999952E0,2.556000061E2,5.896000290E1,0.000000000E0
1.479889271E2,5.233212833E1,4.868744810E0,-4.319384766E0,1.070000052E0,2.188000031E2,5.896000290E1,0.000000000E0
1.489974786E2,5.233211703E1,4.868747240E0,-4.316149902E0,1.059999943E0,1.671999969E2,5.896000290E1,0.000000000E0
