sensor_type,device_type,timestamps,illuminance
light,smartphone,1529416875880371200,341.0
light,smartphone,1529416876083191040,547.0
light,smartphone,1529416876286041088,584.0
light,smartphone,1529416876488922112,847.0
light,smartphone,1529416876691986176,313.0
light,smartphone,1529416876894592000,317.0
light,smartphone,1529416877097473024,554.0
light,smartphone,1529416877300385024,567.0
light,smartphone,1529416877503174144,446.0
light,smartphone,1529416877706054912,307.0
light,smartphone,1529416877908919296,327.0
light,smartphone,1529416878112165888,632.0
light,smartphone,1529416878314620160,613.0
light,smartphone,1529416878517469952,403.0
light,smartphone,1529416878720382208,309.0
light,smartphone,1529416878923171072,282.0
light,smartphone,1529416879126204160,472.0
light,smartphone,1529416879328933120,474.0
light,smartphone,1529416879532392960,247.0
light,smartphone,1529416879734603008,256.0
light,smartphone,1529416879937484032,207.0
light,smartphone,1529416880140455936,369.0
light,smartphone,1529416880343184128,353.0
light,smartphone,1529416880546370048,295.0
light,smartphone,1529416880748884992,249.0
light,smartphone,1529416880951735040,209.0
light,smartphone,1529416881154616320,377.0
light,smartphone,1529416881357436160,364.0
light,smartphone,1529416881560409088,204.0
light,smartphone,1529416881763106304,267.0
light,smartphone,1529416881965987072,222.0
light,smartphone,1529416882168838144,389.0
light,smartphone,1529416882371656960,387.0
light,smartphone,1529416882574537984,212.0
light,smartphone,1529416882777358080,245.0
light,smartphone,1529416882980604928,254.0
light,smartphone,1529416883183059200,449.0
light,smartphone,1529416883385909248,463.0
light,smartphone,1529416883588819968,366.0
light,smartphone,1529416883791549184,299.0
light,smartphone,1529416883994642944,290.0
light,smartphone,1529416884197280000,503.0
light,smartphone,1529416884400100096,613.0
light,smartphone,1529416884602981120,399.0
light,smartphone,1529416884805799936,392.0
light,smartphone,1529416885008742144,408.0
light,smartphone,1529416885211471104,651.0
light,smartphone,1529416885414748160,815.0
light,smartphone,1529416885617202176,723.0
light,smartphone,1529416885820051968,579.0
light,smartphone,1529416886022932992,613.0
light,smartphone,1529416886225783296,766.0
light,smartphone,1529416886428939264,966.0
light,smartphone,1529416886631484160,816.0
light,smartphone,1529416886834333952,613.0
light,smartphone,1529416887037214976,739.0
light,smartphone,1529416887240035072,853.0
light,smartphone,1529416887442916096,1146.0
light,smartphone,1529416887645766144,664.0
light,smartphone,1529416887849020928,551.0
light,smartphone,1529416888051475200,453.0
light,smartphone,1529416888254324992,611.0
light,smartphone,1529416888457206016,710.0
light,smartphone,1529416888660026112,496.0
light,smartphone,1529416888863090176,364.0
light,smartphone,1529416889065757184,372.0
light,smartphone,1529416889268577024,680.0
light,smartphone,1529416889471427072,564.0
light,smartphone,1529416889674308096,344.0
light,smartphone,1529416889877157888,321.0
light,smartphone,1529416890079977984,279.0
light,smartphone,1529416890283195136,392.0
light,smartphone,1529416890485984256,399.0
light,smartphone,1529416890688498944,323.0
light,smartphone,1529416890891349248,270.0
light,smartphone,1529416891094168832,344.0
light,smartphone,1529416891297233152,389.0
light,smartphone,1529416891499839232,350.0
light,smartphone,1529416891702720000,254.0
