"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.496948242E0,3.614807129E1,6.149291992E-1,3.607177734E0
5.517303467E0,3.544464111E1,-7.888793945E-1,5.769348145E0
5.536926269E0,3.259429932E1,-1.509094238E0,8.639526367E0
5.557006836E0,3.115081787E1,-5.003356934E0,1.011657715E1
5.576904297E0,3.116302490E1,-5.705261230E0,1.155548096E1
5.596893310E0,2.971496582E1,-9.895324707E0,1.304168701E1
5.616882324E0,2.755432129E1,-1.130218506E1,1.377716064E1
5.636871338E0,2.535858154E1,-1.409454346E1,1.238861084E1
5.656860351E0,2.604522705E1,-1.687164307E1,1.099700928E1
5.677276611E0,2.555389404E1,-1.799163818E1,1.030426025E1
5.696929931E0,2.338409424E1,-1.939544678E1,1.032562256E1
5.716888428E0,2.267303467E1,-2.079620361E1,1.177368164E1
5.736816406E0,2.048187256E1,-2.289276123E1,1.037597656E1
5.756805420E0,3.649597168E1,-2.104949951E1,2.099456787E1
5.776794433E0,3.576354980E1,-2.174682617E1,2.028961182E1
5.796783447E0,3.503417969E1,-2.453918457E1,2.104339600E1
5.816772461E0,3.360290527E1,-2.454833984E1,2.175903320E1
5.837097168E0,3.073577881E1,-2.526397705E1,2.320098877E1
5.856933594E0,2.712554932E1,-2.667541504E1,2.322387695E1
5.876770019E0,2.640075684E1,-2.877197266E1,2.396697998E1
5.896728515E0,2.710876465E1,-2.946166992E1,2.326049805E1
5.916717529E0,2.423095703E1,-3.017578125E1,2.398834229E1
5.936706543E0,2.349395752E1,-3.156890869E1,2.329406738E1
5.956695556E0,2.491302490E1,-3.085937500E1,2.113952637E1
5.976684570E0,2.561950684E1,-3.154907227E1,2.043304443E1
5.997039795E0,2.638397217E1,-3.016204834E1,2.327117920E1
6.016967773E0,2.322845459E1,-3.164215088E1,2.568817139E1
6.036651611E0,2.465057373E1,-3.023529053E1,2.352447510E1
6.056701660E0,2.391815186E1,-2.953796387E1,2.208709717E1
6.076660156E0,2.588500977E1,-3.440093994E1,2.208557129E1
6.096618652E0,2.733001709E1,-3.369750977E1,2.207489014E1
6.116607666E0,2.876281738E1,-3.368682861E1,2.135925293E1
6.136596680E0,2.948303223E1,-3.368377686E1,2.135772705E1
6.156585693E0,3.018493652E1,-3.367462158E1,1.992797852E1
6.176879883E0,3.089294434E1,-3.436584473E1,1.922302246E1
6.197570801E0,3.305358887E1,-3.435516357E1,1.921997070E1
6.216552734E0,3.303070068E1,-3.225555420E1,1.633453369E1
6.236541748E0,3.373870850E1,-3.294677734E1,1.562805176E1
6.256591797E0,3.663635254E1,-3.154144287E1,1.632080078E1
6.276519775E0,3.588562012E1,-3.083801270E1,1.345367432E1
6.296539306E0,3.518371582E1,-3.084716797E1,1.488342285E1
6.316497803E0,3.662872314E1,-3.014373779E1,1.487274170E1
6.336914062E0,3.735656738E1,-2.874603271E1,1.485290527E1
6.356628418E0,3.309631348E1,-3.236846924E1,1.546783447E1
6.376525879E0,3.307037354E1,-3.236083984E1,1.332550049E1
6.396453857E0,2.995452881E1,-3.200988770E1,1.650238037E1
6.416442871E0,3.210601807E1,-3.339233398E1,1.651916504E1
6.436462402E0,3.139038086E1,-3.130340576E1,1.577758789E1
6.456420898E0,3.210601807E1,-3.060150146E1,1.505279541E1
6.476409912E0,3.424072266E1,-3.197784424E1,1.363983154E1
6.496734619E0,3.425750732E1,-2.919311523E1,1.360321045E1
6.516571045E0,3.282165527E1,-3.129425049E1,1.506195068E1
6.536407471E0,3.425750732E1,-2.919311523E1,1.360321045E1
6.556427002E0,3.571472168E1,-2.779388428E1,1.429595947E1
6.576416015E0,3.428802490E1,-2.850341797E1,1.573638916E1
6.596343994E0,3.717346191E1,-2.500152588E1,1.425781250E1
6.616333008E0,3.571166992E1,-2.709503174E1,1.357269287E1
6.636322021E0,3.646087646E1,-2.640228271E1,1.570587158E1
6.656311035E0,3.573760986E1,-2.570800781E1,1.498260498E1
6.676574707E0,3.595428467E1,-2.630615234E1,1.219940186E1
6.696289062E0,3.741302490E1,-2.490844727E1,1.289367676E1
6.716308594E0,3.805236816E1,-2.411193848E1,9.498596191E0
6.736267090E0,4.166717529E1,-2.339935303E1,1.019897461E1
6.756256103E0,3.880767822E1,-2.272186279E1,1.162109375E1
6.776245117E0,4.023895264E1,-2.271270752E1,1.090545654E1
6.796234131E0,3.807067871E1,-2.272033691E1,1.019439697E1
6.816223144E0,3.880004883E1,-2.550964355E1,1.237335205E1
6.836547851E0,3.879547119E1,-2.481079102E1,1.165008545E1
6.856201172E0,3.951568604E1,-2.759857178E1,1.311492920E1
6.876251221E0,3.663482666E1,-2.621765137E1,1.238555908E1
6.896179199E0,3.661346436E1,-2.830505371E1,1.169891357E1
6.916168213E0,3.589630127E1,-2.761230469E1,1.169128418E1
6.936157226E0,3.590087891E1,-2.970581055E1,1.314697266E1
6.956146240E0,3.516845703E1,-3.179931641E1,1.317596436E1
6.976135254E0,3.231353760E1,-3.182067871E1,1.532287598E1
6.996551514E0,3.374938965E1,-3.251037598E1,1.533050537E1
7.016204834E0,3.193206787E1,-3.231353760E1,1.555175781E1
7.036132812E0,3.345031738E1,-3.049316406E1,1.876373291E1
7.056091308E0,3.269958496E1,-3.258209229E1,1.736450195E1
7.076080322E0,3.201751709E1,-3.050231934E1,1.948089600E1
7.096069336E0,3.129730225E1,-3.190155029E1,2.021484375E1
7.116058349E0,3.127593994E1,-3.259429932E1,1.879425049E1
7.136047363E0,3.055114746E1,-3.189849854E1,1.807250977E1
7.156402588E0,2.838592529E1,-3.400115967E1,1.881713867E1
7.176239014E0,2.694244385E1,-3.610076904E1,1.956176758E1
7.196044922E0,2.694244385E1,-3.610076904E1,1.956176758E1
7.216033935E0,2.694244385E1,-3.610076904E1,1.956176758E1
7.236022949E0,2.694244385E1,-3.610076904E1,1.956176758E1
7.255981445E0,2.477722168E1,-3.680725098E1,1.957397461E1
7.275970459E0,2.403869629E1,-3.541107178E1,1.741180420E1
7.295959473E0,2.333221436E1,-3.751220703E1,1.958465576E1
7.316345215E0,2.478179932E1,-3.750610352E1,2.029724121E1
7.336181640E0,2.264251709E1,-3.682556152E1,2.171936035E1
7.355926514E0,2.149963379E1,-3.473815918E1,2.044677734E1
7.375915527E0,2.219848633E1,-3.542633057E1,1.902618408E1
7.395904541E0,2.149047852E1,-3.613128662E1,2.046508789E1
7.415893555E0,2.075347900E1,-3.752441406E1,1.977081299E1
7.435913086E0,2.072753906E1,-3.751831055E1,1.762695312E1
7.455871582E0,2.288818359E1,-3.750610352E1,1.762390137E1
7.475860596E0,2.216339111E1,-3.681182861E1,1.690216064E1
7.496215820E0,1.927337646E1,-3.821868896E1,1.692352295E1
7.515869140E0,2.286224365E1,-4.029083252E1,1.694793701E1
7.535836407E0,2.212371826E1,-3.749847412E1,1.405334473E1
7.555794903E0,2.214202881E1,-3.750305176E1,1.548156738E1
7.575783917E0,2.355651855E1,-3.888397217E1,1.407012939E1
7.595772931E0,2.358245850E1,-3.749542236E1,1.548004150E1
7.615761944E0,2.359008789E1,-3.610229492E1,1.546173096E1
7.635750958E0,2.500152588E1,-3.678436279E1,1.332550049E1
7.656167218E0,2.645416260E1,-3.608398438E1,1.402893066E1
7.675851056E0,2.862396240E1,-3.468017578E1,1.400756836E1
7.695717999E0,2.305908203E1,-3.793182373E1,1.753692627E1
7.715737530E0,2.593078613E1,-3.651885986E1,1.608581543E1
7.735726544E0,2.736206055E1,-3.511352539E1,1.463623047E1
7.755685040E0,2.806091309E1,-3.580169678E1,1.321563721E1
7.775674054E0,2.880706787E1,-3.441009521E1,1.462554932E1
7.795663067E0,3.096771240E1,-3.439941406E1,1.462249756E1
7.815987774E0,2.954406738E1,-3.301544189E1,1.531982422E1
7.835854718E0,3.240356445E1,-3.369293213E1,1.389770508E1
7.855660626E0,3.099365234E1,-3.022003174E1,1.456604004E1
7.875619122E0,3.385314941E1,-3.089752197E1,1.314392090E1
7.895638653E0,3.239898682E1,-3.020324707E1,1.170806885E1
7.915597149E0,3.456420898E1,-2.949676514E1,1.169586182E1
7.935586163E0,3.530120850E1,-2.810211182E1,1.239013672E1
7.955575177E0,3.530578613E1,-2.740478516E1,1.238098145E1
7.975960919E0,3.606872559E1,-2.462310791E1,1.448516846E1
7.995827862E0,3.534088135E1,-2.601928711E1,1.450500488E1
8.015572735E0,3.239746094E1,-2.526855469E1,1.151275635E1
8.035531231E0,3.412322998E1,-2.474212646E1,9.968566895E0
8.055550763E0,3.557586670E1,-2.683105469E1,1.213836670E1
8.075509259E0,3.411865234E1,-2.683410645E1,1.071166992E1
