"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.720170296E2,5.233218284E1,4.868506630E0,4.130139160E0,3.039999962E0,3.377000122E2,1.072000027E1,0.000000000E0
1.730150584E2,5.233222076E1,4.868497580E0,5.194287109E0,3.220000029E0,3.411000061E2,9.648000717E0,0.000000000E0
1.740226746E2,5.233225792E1,4.868491220E0,5.502270508E0,3.319999933E0,3.471000061E2,9.648000717E0,0.000000000E0
1.750196645E2,5.233230685E1,4.868477410E0,4.708325195E0,4.820000172E0,3.352000122E2,1.179199982E1,0.000000000E0
1.760188905E2,5.233237347E1,4.868468660E0,4.673046875E0,6.019999981E0,3.537999878E2,1.179199982E1,0.000000000E0
1.770231083E2,5.233243680E1,4.868456740E0,4.148937988E0,5.530000210E0,3.488999939E2,1.286400032E1,0.000000000E0
1.780243983E2,5.233246224E1,4.868461570E0,4.879284668E0,1.169999957E0,7.599999905E0,9.648000717E0,0.000000000E0
1.790253322E2,5.233247307E1,4.868471790E0,3.550061035E0,1.090000033E0,3.565000000E2,9.648000717E0,0.000000000E0
1.800166436E2,5.233248545E1,4.868478320E0,4.273022461E0,1.070000052E0,3.597999878E2,9.648000717E0,0.000000000E0
1.810279883E2,5.233249803E1,4.868484790E0,3.628674316E0,1.039999962E0,3.560000000E2,9.648000717E0,0.000000000E0
1.820287255E2,5.233251394E1,4.868491150E0,3.234082031E0,1.059999943E0,3.575000000E2,9.648000717E0,0.000000000E0
1.830300265E2,5.233253363E1,4.868496310E0,2.710949707E0,1.139999986E0,1.000000015E-1,9.648000717E0,0.000000000E0
1.840284157E2,5.233255455E1,4.868498850E0,3.637707520E0,1.179999948E0,3.099999905E0,9.648000717E0,0.000000000E0
1.850278145E2,5.233257723E1,4.868501680E0,3.575146484E0,1.179999948E0,3.599999905E0,9.648000717E0,0.000000000E0
1.860217499E2,5.233259980E1,4.868501970E0,3.402722168E0,1.129999995E0,2.000000000E0,9.648000717E0,0.000000000E0
1.870407868E2,5.233262500E1,4.868501420E0,3.633679199E0,1.120000005E0,3.595000000E2,9.648000717E0,0.000000000E0
1.880309432E2,5.233265521E1,4.868500540E0,3.414257812E0,1.960000038E0,3.588999939E2,1.072000027E1,0.000000000E0
1.890244585E2,5.233268773E1,4.868503740E0,5.148083496E0,2.029999971E0,4.000000000E0,1.072000027E1,0.000000000E0
1.900168296E2,5.233272285E1,4.868507320E0,5.923291016E0,2.119999886E0,5.800000191E0,1.072000027E1,0.000000000E0
1.910269270E2,5.233275919E1,4.868508210E0,4.500988770E0,2.140000105E0,4.199999809E0,1.072000027E1,0.000000000E0
1.920222761E2,5.233279511E1,4.868508670E0,4.223950195E0,2.029999971E0,7.099999905E0,1.072000027E1,0.000000000E0
1.930273916E2,5.233282991E1,4.868509010E0,4.261853027E0,1.440000057E0,6.000000238E-1,1.072000027E1,0.000000000E0
