sensor_type,device_type,timestamps,illuminance
light,smartphone,1529417955118484736,2.0
light,smartphone,1529417955321366016,1.0
light,smartphone,1529417955524246784,0.0
light,smartphone,1529417955727096832,1.0
light,smartphone,1529417955930038784,5.0
light,smartphone,1529417956335708928,1.0
light,smartphone,1529417956741470976,0.0
light,smartphone,1529417956944381952,1.0
light,smartphone,1529417957147201792,7.0
light,smartphone,1529417957350234880,8.0
light,smartphone,1529417957552963840,1.0
light,smartphone,1529417958161636864,0.0
light,smartphone,1529417958364547840,1.0
light,smartphone,1529417958973282048,12.0
light,smartphone,1529417959176071168,15.0
light,smartphone,1529417959378952192,5.0
light,smartphone,1529417959581832960,21.0
light,smartphone,1529417959784744192,28.0
light,smartphone,1529417959987595008,7.0
light,smartphone,1529417960190720000,0.0
light,smartphone,1529417960596237824,1.0
light,smartphone,1529417961001968896,3.0
light,smartphone,1529417961204910848,5.0
light,smartphone,1529417961407760896,1.0
light,smartphone,1529417961813491968,3.0
light,smartphone,1529417962016372736,7.0
light,smartphone,1529417962219314944,5.0
light,smartphone,1529417962422104064,1.0
light,smartphone,1529417962624984832,2.0
light,smartphone,1529417962827865856,1.0
light,smartphone,1529417963031173888,10.0
light,smartphone,1529417963436477696,5.0
light,smartphone,1529417963639389184,2.0
light,smartphone,1529417963842209024,0.0
light,smartphone,1529417964045181952,5.0
light,smartphone,1529417964247971072,10.0
light,smartphone,1529417964450820864,15.0
light,smartphone,1529417964653704960,46.0
light,smartphone,1529417964856555008,43.0
light,smartphone,1529417965059465728,14.0
light,smartphone,1529417965262285824,20.0
light,smartphone,1529417965465441792,7.0
light,smartphone,1529417965668047872,1.0
light,smartphone,1529417966276689920,5.0
light,smartphone,1529417966479602176,3.0
light,smartphone,1529417966682390784,1.0
light,smartphone,1529417967493913856,3.0
light,smartphone,1529417967696794880,5.0
light,smartphone,1529417967899707136,1.0
light,smartphone,1529417968508440832,0.0
light,smartphone,1529417968711200000,2.0
light,smartphone,1529417969116961024,1.0
light,smartphone,1529417969319902720,3.0
light,smartphone,1529417969522692864,8.0
light,smartphone,1529417969725542912,2.0
light,smartphone,1529417970131304960,5.0
light,smartphone,1529417970334216192,14.0
light,smartphone,1529417970537065984,17.0
light,smartphone,1529417970740129792,40.0
light,smartphone,1529417970942797824,52.0
light,smartphone,1529417971145709056,7.0
light,smartphone,1529417971348558848,28.0
light,smartphone,1529417971551378944,51.0
light,smartphone,1529417971754321152,16.0
light,smartphone,1529417971957140992,6.0
light,smartphone,1529417972160326912,2.0
light,smartphone,1529417972362871808,1.0
light,smartphone,1529417972565783040,0.0
light,smartphone,1529417973377245952,1.0
light,smartphone,1529417973580523008,3.0
light,smartphone,1529417973985857792,1.0
light,smartphone,1529417974188739072,0.0
light,smartphone,1529417974594621952,3.0
light,smartphone,1529417974797410816,6.0
light,smartphone,1529417975000260864,2.0
light,smartphone,1529417975203202816,1.0
light,smartphone,1529417975811814912,7.0
light,smartphone,1529417976014817792,5.0
light,smartphone,1529417976217607936,2.0
light,smartphone,1529417976420457984,0.0
light,smartphone,1529417976826249984,6.0
light,smartphone,1529417977029099776,16.0
light,smartphone,1529417977231981056,21.0
light,smartphone,1529417977435044864,51.0
light,smartphone,1529417977637711872,56.0
light,smartphone,1529417977840562944,39.0
light,smartphone,1529417978043504896,30.0
light,smartphone,1529417978246294016,23.0
light,smartphone,1529417978449174784,2.0
light,smartphone,1529417978652024832,1.0
light,smartphone,1529417978855241984,0.0
light,smartphone,1529417979057756928,2.0
light,smartphone,1529417979260606976,3.0
light,smartphone,1529417979666369024,1.0
light,smartphone,1529417980274949888,2.0
light,smartphone,1529417980477860864,3.0
light,smartphone,1529417980883592960,1.0
light,smartphone,1529417981492144128,2.0
light,smartphone,1529417981695023872,5.0
light,smartphone,1529417981897874944,2.0
light,smartphone,1529417982100939008,5.0
light,smartphone,1529417982303666944,8.0
light,smartphone,1529417982506516736,6.0
light,smartphone,1529417982912218112,3.0
light,smartphone,1529417983115098880,23.0
light,smartphone,1529417983317979904,30.0
light,smartphone,1529417983520860928,40.0
