_id,statusId,sensorName,accuracy,value,timestamp
2220,4,"AK09911 Magnetometer",3,"[9.986877,31.796265,-4.2770386]",1528171723095
2238,4,"AK09911 Magnetometer",3,"[10.005188,31.791687,-2.848816]",1528171723114
2256,4,"AK09911 Magnetometer",3,"[9.284973,31.78711,-2.84729]",1528171723134
2274,4,"AK09911 Magnetometer",3,"[11.471558,33.18634,-1.4404297]",1528171723154
2292,4,"AK09911 Magnetometer",3,"[10.751343,33.18329,-1.4389038]",1528171723174
2310,4,"AK09911 Magnetometer",3,"[10.7421875,33.184814,-2.154541]",1528171723194
2330,4,"AK09911 Magnetometer",3,"[8.572388,33.177185,-2.8656006]",1528171723215
2348,4,"AK09911 Magnetometer",3,"[12.759399,32.12433,-3.869629]",1528171723234
2366,4,"AK09911 Magnetometer",3,"[12.046814,33.51288,-3.8879395]",1528171723254
2384,4,"AK09911 Magnetometer",3,"[12.051392,32.814026,-3.1646729]",1528171723275
2402,4,"AK09911 Magnetometer",3,"[12.051392,32.814026,-3.1646729]",1528171723294
2420,4,"AK09911 Magnetometer",3,"[13.479614,32.12738,-3.8711548]",1528171723314
2438,4,"AK09911 Magnetometer",3,"[5.6427,32.489014,-7.696533]",1528171723334
2456,4,"AK09911 Magnetometer",3,"[-0.14038086,30.879211,-5.142212]",1528171723354
2476,4,"AK09911 Magnetometer",3,"[2.7236938,29.504395,-5.8410645]",1528171723374
2494,4,"AK09911 Magnetometer",3,"[1.2832642,30.891418,-6.5719604]",1528171723395
2512,4,"AK09911 Magnetometer",3,"[0.579834,30.88379,-5.142212]",1528171723414
2530,4,"AK09911 Magnetometer",3,"[-0.14038086,30.879211,-5.142212]",1528171723434
2548,4,"AK09911 Magnetometer",3,"[2.0202637,30.891418,-5.1452637]",1528171723454
2566,4,"AK09911 Magnetometer",3,"[-0.12664795,31.573486,-4.437256]",1528171723474
2584,4,"AK09911 Magnetometer",3,"[-1.550293,31.56128,-3.0059814]",1528171723494
2602,4,"AK09911 Magnetometer",3,"[-2.256775,30.856323,-1.5670776]",1528171723514
2620,4,"AK09911 Magnetometer",3,"[-3.6895752,30.847168,-0.8514404]",1528171723534
2640,4,"AK09911 Magnetometer",3,"[-1.1077881,30.841064,4.5059204]",1528171723554
2658,4,"AK09911 Magnetometer",3,"[-2.508545,32.914734,6.6223145]",1528171723574
2676,4,"AK09911 Magnetometer",3,"[-3.2424927,29.426575,7.383728]",1528171723594
2694,4,"AK09911 Magnetometer",3,"[-3.9230347,31.504822,9.500122]",1528171723614
2712,4,"AK09911 Magnetometer",3,"[-5.355835,31.495667,10.215759]",1528171723634
2730,4,"AK09911 Magnetometer",3,"[-6.7993164,30.792236,10.227966]",1528171723654
2748,4,"AK09911 Magnetometer",3,"[-9.535217,32.409668,11.880493]",1528171723674
2766,4,"AK09911 Magnetometer",3,"[-10.983276,31.008911,11.90033]",1528171723694
2786,4,"AK09911 Magnetometer",3,"[-11.686707,30.999756,13.330078]",1528171723714
2804,4,"AK09911 Magnetometer",3,"[-10.971069,31.703186,12.605286]",1528171723734
2822,4,"AK09911 Magnetometer",3,"[-10.232544,30.307007,14.767456]",1528171723754
2840,4,"AK09911 Magnetometer",3,"[-13.825989,31.680298,14.752197]",1528171723774
2858,4,"AK09911 Magnetometer",3,"[-12.376404,30.290222,16.19873]",1528171723794
2876,4,"AK09911 Magnetometer",3,"[-14.524841,32.36847,16.17279]",1528171723813
2894,4,"AK09911 Magnetometer",3,"[-14.546204,30.282593,15.486145]",1528171723834
2912,4,"AK09911 Magnetometer",3,"[-15.9729,30.969238,16.192627]",1528171723853
2932,4,"AK09911 Magnetometer",3,"[-14.013672,32.19757,8.433533]",1528171723874
2950,4,"AK09911 Magnetometer",3,"[-11.883545,31.518555,6.2973022]",1528171723894
2968,4,"AK09911 Magnetometer",3,"[-11.860657,32.209778,7.7163696]",1528171723914
2986,4,"AK09911 Magnetometer",3,"[-12.559509,32.89795,9.136963]",1528171723934
3004,4,"AK09911 Magnetometer",3,"[-11.09314,34.29413,10.543823]",1528171723954
3022,4,"AK09911 Magnetometer",3,"[-11.083984,32.896423,11.991882]",1528171723973
3040,4,"AK09911 Magnetometer",3,"[-10.38208,31.5094,11.296082]",1528171723994
3058,4,"AK09911 Magnetometer",3,"[-6.767273,31.777954,13.111877]",1528171724014
3078,4,"AK09911 Magnetometer",3,"[-8.920288,31.764221,13.827515]",1528171724034
3096,4,"AK09911 Magnetometer",3,"[-6.729126,32.4646,15.9591675]",1528171724053
3114,4,"AK09911 Magnetometer",3,"[-6.715393,31.764221,17.398071]",1528171724074
3132,4,"AK09911 Magnetometer",3,"[-6.715393,31.764221,17.398071]",1528171724094
3150,4,"AK09911 Magnetometer",3,"[-6.715393,31.764221,17.398071]",1528171724113
3168,4,"AK09911 Magnetometer",3,"[-6.715393,31.764221,17.398071]",1528171724133
3186,4,"AK09911 Magnetometer",3,"[-6.67572,26.869202,23.1781]",1528171724153
3204,4,"AK09911 Magnetometer",3,"[-5.2261353,25.479126,24.623108]",1528171724173
3224,4,"AK09911 Magnetometer",3,"[-1.4465332,21.17157,31.703186]",1528171724194
3242,4,"AK09911 Magnetometer",3,"[-1.4465332,21.17157,31.703186]",1528171724214
3260,4,"AK09911 Magnetometer",3,"[2.9022217,22.581482,33.10852]",1528171724234
3278,4,"AK09911 Magnetometer",3,"[5.783081,19.805908,34.570312]",1528171724253
3296,4,"AK09911 Magnetometer",3,"[8.68988,21.209717,35.977173]",1528171724273
3314,4,"AK09911 Magnetometer",3,"[8.651733,19.126892,33.862305]",1528171724294
3332,4,"AK09911 Magnetometer",3,"[10.812378,16.348267,35.325623]",1528171724314
3350,4,"AK09911 Magnetometer",3,"[10.824585,17.042542,36.03058]",1528171724334
3368,4,"AK09911 Magnetometer",3,"[4.6401978,17.726135,37.530518]",1528171724353
3388,4,"AK09911 Magnetometer",3,"[5.3207397,17.044067,34.6817]",1528171724374
3406,4,"AK09911 Magnetometer",3,"[2.456665,17.024231,36.112976]",1528171724393
3424,4,"AK09911 Magnetometer",3,"[4.60968,14.247131,36.862183]",1528171724414
3442,4,"AK09911 Magnetometer",3,"[2.4490356,12.840271,37.599182]",1528171724433
