"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.833435060E-1,2.153930664E-1,5.172119141E-1,9.425354004E-2
5.857849120E-1,1.940917969E-1,5.129547119E-1,1.006469727E-1
5.882568360E-1,1.770477295E-1,5.001678467E-1,1.081085205E-1
5.907287600E-1,1.589355469E-1,4.788665771E-1,1.123657227E-1
5.931701660E-1,1.397705078E-1,4.564971924E-1,1.198272705E-1
5.956420900E-1,1.237792969E-1,4.245300293E-1,1.294097900E-1
5.981140140E-1,1.046142578E-1,3.829956055E-1,1.336669922E-1
6.005554200E-1,8.650207520E-2,3.361206055E-1,1.389923096E-1
6.030273440E-1,6.625366211E-2,2.860565186E-1,1.453857422E-1
6.054992680E-1,4.069519043E-2,2.349243164E-1,1.528472900E-1
6.079406740E-1,1.193237305E-2,1.869812012E-1,1.603088379E-1
6.104125980E-1,-1.469421387E-2,1.464996338E-1,1.741485596E-1
6.128540040E-1,-4.026794434E-2,1.177368164E-1,1.880035400E-1
6.153259280E-1,-6.796264648E-2,9.111022949E-2,2.103729248E-1
6.177978520E-1,-8.819580078E-2,6.446838379E-2,2.295532227E-1
6.202392580E-1,-1.020507812E-1,3.890991211E-2,2.529754639E-1
6.227111820E-1,-1.180267334E-1,9.078979492E-3,2.764129639E-1
6.251831060E-1,-1.297454834E-1,-1.222229004E-2,3.041229248E-1
6.276245120E-1,-1.393432617E-1,-2.180480957E-2,3.382110596E-1
6.300964360E-1,-1.531829834E-1,-2.500915527E-2,3.754882812E-1
6.325683600E-1,-1.691589355E-1,-1.329040527E-2,4.181060791E-1
6.350097660E-1,-1.904754639E-1,5.889892578E-3,4.596405029E-1
6.374816900E-1,-2.064514160E-1,2.825927734E-2,5.065155029E-1
6.399536140E-1,-2.171020508E-1,5.702209473E-2,5.544586182E-1
6.423950200E-1,-2.320098877E-1,7.725524902E-2,5.970611572E-1
6.448669440E-1,-2.458648682E-1,9.643554688E-2,6.386108398E-1
6.473083500E-1,-2.501220703E-1,1.156005859E-1,6.769561768E-1
6.497802740E-1,-2.586517334E-1,1.358489990E-1,7.067871094E-1
6.522521970E-1,-2.660980225E-1,1.539611816E-1,7.355499268E-1
6.547241210E-1,-2.788848877E-1,1.699371338E-1,7.557830811E-1
6.571655280E-1,-2.895355225E-1,1.912384033E-1,7.738952637E-1
6.596374510E-1,-3.012542725E-1,2.093505859E-1,7.845458984E-1
6.620788580E-1,-3.172302246E-1,2.306518555E-1,7.898712158E-1
6.645507810E-1,-3.342742920E-1,2.498321533E-1,7.920074463E-1
6.670227050E-1,-3.459930420E-1,2.668762207E-1,7.909393311E-1
6.694641120E-1,-3.598480225E-1,2.753906250E-1,7.888031006E-1
6.719360350E-1,-3.747558594E-1,2.817840576E-1,7.834777832E-1
6.744079590E-1,-3.939361572E-1,2.967071533E-1,7.802886963E-1
6.768493650E-1,-4.216308594E-1,3.201446533E-1,7.866821289E-1
6.793212890E-1,-4.557189941E-1,3.552856445E-1,7.930755615E-1
6.817626960E-1,-4.929962158E-1,3.946990967E-1,8.015899658E-1
6.842346190E-1,-5.270996094E-1,4.032287598E-1,8.090515137E-1
6.867065430E-1,-5.494689941E-1,3.819274902E-1,8.111877441E-1
6.891479490E-1,-5.611877441E-1,3.265228271E-1,8.026580811E-1
6.916198730E-1,-5.633087158E-1,2.349243164E-1,7.877502441E-1
6.940917970E-1,-5.462646484E-1,1.241302490E-1,7.579193115E-1
6.965332030E-1,-5.228271484E-1,5.645751953E-4,7.185058594E-1
6.990051270E-1,-4.993896484E-1,-1.176910400E-1,6.758880615E-1
7.014770510E-1,-4.770202637E-1,-2.231445312E-1,6.247558594E-1
7.039184570E-1,-4.546508789E-1,-3.105010986E-1,5.768280029E-1
7.063903810E-1,-4.386749268E-1,-3.818664551E-1,5.299530029E-1
7.088317870E-1,-4.205627441E-1,-4.415283203E-1,4.852142334E-1
7.113037110E-1,-4.013977051E-1,-4.926605225E-1,4.394073486E-1
7.137756350E-1,-3.758239746E-1,-5.427246094E-1,4.010467529E-1
7.162170410E-1,-3.449249268E-1,-6.023864746E-1,3.669586182E-1
7.186889650E-1,-3.161773682E-1,-6.694946289E-1,3.296813965E-1
