"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.242574670E-1,5.366821289E-1,5.725891113E0,7.782470703E0
5.267293910E-1,5.115509033E-1,5.754623413E0,7.796829224E0
5.292013140E-1,5.582275391E-1,5.779754639E0,7.817184448E0
5.316427210E-1,5.558319092E-1,5.773773193E0,7.807601929E0
5.341146450E-1,5.558319092E-1,5.770172119E0,7.807601929E0
5.365865680E-1,5.462646484E-1,5.839614868E0,7.805206299E0
5.390279750E-1,6.216735840E-1,5.875518799E0,7.778869629E0
5.414998980E-1,6.300506592E-1,5.847991943E0,7.793243408E0
5.439718220E-1,6.551971436E-1,5.931793213E0,7.789642334E0
5.464132290E-1,6.934967041E-1,5.943756104E0,7.707046509E0
5.488851520E-1,6.683654785E-1,5.960525513E0,7.687896729E0
5.513570760E-1,6.839294434E-1,6.009597778E0,7.702255249E0
5.537984820E-1,6.563873291E-1,5.986862183E0,7.645996094E0
5.562704060E-1,6.216735840E-1,5.935379028E0,7.566986084E0
5.587118130E-1,5.678100586E-1,5.889892578E0,7.478408813E0
5.611837360E-1,5.761871338E-1,5.871932983E0,7.419738770E0
5.636556600E-1,6.408386230E-1,5.802505493E0,7.369461060E0
5.660970660E-1,6.695556641E-1,5.777359009E0,7.233001709E0
5.685689900E-1,6.923065186E-1,5.747436523E0,7.225814819E0
5.710409140E-1,7.102661133E-1,5.717514038E0,7.102508545E0
5.735128380E-1,7.342071533E-1,5.710327148E0,7.059417725E0
5.759542440E-1,7.150573730E-1,5.682785034E0,7.077377319E0
5.784261680E-1,7.557525635E-1,5.768981934E0,6.988784790E0
5.808675740E-1,7.964477539E-1,5.795318604E0,6.952880859E0
5.833394980E-1,7.413940430E-1,5.774963379E0,6.916961670E0
5.858114220E-1,7.186431885E-1,5.833633423E0,6.952880859E0
5.882528280E-1,7.282257080E-1,5.864746094E0,6.962448120E0
5.907247520E-1,7.018890381E-1,5.904251099E0,6.885833740E0
5.931661580E-1,6.480102539E-1,5.888687134E0,6.922943115E0
5.956380820E-1,6.659698486E-1,5.874328613E0,6.894210815E0
5.981100060E-1,6.228790283E-1,5.825241089E0,6.932525635E0
6.005514120E-1,6.061096191E-1,5.864746094E0,7.040267944E0
6.030233360E-1,5.893554688E-1,5.833633423E0,7.063003540E0
6.054952600E-1,5.414733887E-1,5.802505493E0,7.108505249E0
6.079671840E-1,5.079498291E-1,5.779754639E0,7.167160034E0
6.104085900E-1,4.816131592E-1,5.770172119E0,7.189895630E0
6.128805140E-1,4.648590088E-1,5.761795044E0,7.253341675E0
6.153219200E-1,4.145812988E-1,5.813278198E0,7.321578979E0
6.177938440E-1,3.559265137E-1,5.810882568E0,7.386230469E0
6.202657680E-1,1.799468994E-1,5.949737549E0,7.683105469E0
6.227071740E-1,1.607971191E-1,5.992843628E0,7.997940063E0
6.251790980E-1,1.655883789E-1,5.881515503E0,7.997940063E0
6.276205040E-1,6.362915039E-3,5.831237793E0,7.893798828E0
6.300924280E-1,-1.384887695E-1,5.853973389E0,7.844711304E0
6.325643520E-1,-1.803741455E-1,5.905456543E0,7.879425049E0
6.350057580E-1,-2.210845947E-1,5.859954834E0,7.784866333E0
6.374776820E-1,-2.366485596E-1,5.938964844E0,7.780075073E0
6.399496060E-1,-1.887664795E-1,6.028747559E0,7.784866333E0
6.423910120E-1,-1.576385498E-1,6.047912598E0,7.762115479E0
6.448629360E-1,-1.468658447E-1,6.108963013E0,7.698669434E0
6.473348590E-1,-1.372833252E-1,5.959320068E0,7.590927124E0
6.498067830E-1,-6.306457520E-2,5.697158813E0,7.499954224E0
6.522481890E-1,-6.425476074E-2,5.798904419E0,7.529876709E0
6.547201130E-1,-5.108642578E-2,5.826446533E0,7.455657959E0
6.571615200E-1,-2.474975586E-2,5.888687134E0,7.365875244E0
6.596334430E-1,6.741333008E-2,6.019180298E0,7.331161499E0
6.620748500E-1,8.418273926E-2,6.197540283E0,7.289260864E0
6.645467730E-1,1.081237793E-1,6.287322998E0,7.209060669E0
6.670186970E-1,1.296691895E-1,6.407043457E0,7.101318359E0
6.694601040E-1,4.228210449E-2,6.487243652E0,6.999557495E0
6.719320270E-1,-2.595520020E-2,6.545898438E0,6.961257935E0
6.744039510E-1,-8.460998535E-2,6.574630737E0,6.865493774E0
6.768453570E-1,-2.510070801E-1,6.539916992E0,6.819992065E0
6.793172810E-1,-3.240356445E-1,6.483657837E0,6.885833740E0
6.817892050E-1,-4.054412842E-1,6.424987793E0,6.806823730E0
6.842611290E-1,-4.413452148E-1,6.374710083E0,6.837951660E0
6.867330530E-1,-5.179595947E-1,6.344787598E0,6.779296875E0
6.892049770E-1,-5.203552246E-1,6.247817993E0,6.729019165E0
6.916463830E-1,-5.143737793E-1,6.241836548E0,6.739791870E0
6.941183070E-1,-4.988098145E-1,6.243041992E0,6.767318726E0
6.965597130E-1,-4.617004395E-1,6.164031982E0,6.859497070E0
6.990316370E-1,-4.676818848E-1,6.185577393E0,6.861892700E0
7.015035610E-1,-5.000000000E-1,6.172409058E0,6.942108154E0
7.039449670E-1,-4.808502197E-1,6.196350098E0,7.114486694E0
7.064168910E-1,-4.784545898E-1,6.209518433E0,7.168350220E0
7.088888140E-1,-4.964141846E-1,6.246627808E0,7.243774414E0
7.113302210E-1,-4.904327393E-1,6.265777588E0,7.369461060E0
7.138021450E-1,-5.083923340E-1,6.277755737E0,7.483184814E0
7.162740680E-1,-4.796600342E-1,6.258590698E0,7.553817749E0
7.187154750E-1,-4.401550293E-1,6.243041992E0,7.654373169E0
7.211873980E-1,-4.652862549E-1,6.255004883E0,7.750152588E0
7.236288050E-1,-5.299377441E-1,6.251419067E0,7.867462158E0
7.261007290E-1,-5.000000000E-1,6.256195068E0,7.878234863E0
7.285726520E-1,-4.964141846E-1,6.195144653E0,7.923721313E0
7.310140590E-1,-5.000000000E-1,6.193954468E0,7.890213013E0
7.334859820E-1,-4.832458496E-1,6.170013428E0,7.857879639E0
7.359579060E-1,-5.179595947E-1,6.148468018E0,7.832748413E0
7.383993130E-1,-5.371093750E-1,6.117340088E0,7.843521118E0
7.408712360E-1,-5.131683350E-1,6.144866943E0,7.781265259E0
7.433431600E-1,-5.191650391E-1,6.179580688E0,7.750152588E0
7.457845660E-1,-4.952239990E-1,6.150863647E0,7.653182983E0
7.482564900E-1,-5.047912598E-1,6.226272583E0,7.619659424E0
7.507284140E-1,-4.940185547E-1,6.250213623E0,7.534667969E0
7.531698200E-1,-4.868316650E-1,6.229873657E0,7.438903809E0
7.556417440E-1,-5.359191895E-1,6.239440918E0,7.426925659E0
7.580831500E-1,-5.215606689E-1,6.282531738E0,7.306015015E0
7.605550740E-1,-5.143737793E-1,6.271759033E0,7.229400635E0
7.630269980E-1,-5.119781494E-1,6.226272583E0,7.150390625E0
7.654989220E-1,-5.036010742E-1,6.275360107E0,7.051040649E0
7.679403280E-1,-5.215606689E-1,6.235855103E0,7.009140015E0
7.704122520E-1,-4.640960693E-1,6.222686768E0,6.937316895E0
7.728536580E-1,-4.676818848E-1,6.131698608E0,6.933715820E0
7.753255820E-1,-4.724731445E-1,6.045516968E0,6.943298340E0
7.777975060E-1,-5.143737793E-1,5.961715698E0,6.986389160E0
7.802389120E-1,-5.407104492E-1,5.870742798E0,7.027099609E0
7.827108360E-1,-5.826110840E-1,5.657653809E0,7.125259399E0
7.851827600E-1,-6.245117188E-1,5.506820679E0,7.212646484E0
7.876241660E-1,-6.604156494E-1,5.400268555E0,7.331161499E0
7.900960900E-1,-5.490875244E-1,5.299713135E0,7.389816284E0
7.925374960E-1,-3.731079102E-1,5.264999390E0,7.453262329E0
7.950094200E-1,-2.462158203E-1,5.206344604E0,7.471221924E0
7.974813440E-1,-4.870605469E-2,5.239868164E0,7.472412109E0
7.999227500E-1,9.255981445E-2,5.298522949E0,7.517913818E0
8.023946740E-1,2.577667236E-1,5.414642334E0,7.623245239E0
8.048665980E-1,3.714904785E-1,5.519989014E0,7.769302368E0
8.073080040E-1,5.031585693E-1,5.624130249E0,7.945266724E0
8.097799280E-1,6.432189941E-1,5.689971924E0,8.109268188E0
8.122518520E-1,7.294158936E-1,5.749832153E0,8.317565918E0
8.146932580E-1,8.455352783E-1,5.777359009E0,8.553405762E0
8.171651820E-1,9.999542236E-1,5.801300049E0,8.752120972E0
8.196065880E-1,1.072982788E0,5.877914429E0,8.867034912E0
8.220785120E-1,1.202270508E0,5.934188843E0,8.875427246E0
8.245504360E-1,1.253753662E0,5.966506958E0,8.884994507E0
8.269918420E-1,1.302825928E0,5.953338623E0,8.865844727E0
8.294637660E-1,1.359085083E0,6.003616333E0,8.778457642E0
8.319356890E-1,1.400985718E0,5.976074219E0,8.643188477E0
8.343770960E-1,1.325576782E0,5.960525513E0,8.515090942E0
8.368490200E-1,1.292053223E0,6.002410889E0,8.475585938E0
8.393209430E-1,1.208251953E0,5.965301514E0,8.354675293E0
8.417623500E-1,1.146011353E0,5.929397583E0,8.302001953E0
